Thắc mắc về học phíThắc mắc về tính học phần trong/ngoài chương trình,hung.tranle@hust.edu.vn
Biên lai học phí,"Hóa đơn điện tử (Biên lai thu học phí) được cấp tự động và gửi vào địa chỉ email của sinh viên.Sinh viên có thắc mắc về hóa đơn điện tử cần liên hệBan Tài chính - Kế hoạch(Phòng 207, nhà C3-4)."
Thắc mắc về miễn giảm học phí,Nếu có thắc mắc cần liên hệ Ban Công tác sinh viên (phòng 103-104 C1)
"Kết quả học tập các kỳ (GPA, CPA, tín chỉ nợ...)Tăng/giảm mức cảnh báo học tập",hung.tranle@hust.edu.vn
"Học bổng khuyến khích học tập các mức A, B, CChuyển/nhận tiền học bổng, tài khoản nhận học bổng",Nếu có thắc mắc cần liên hệ Ban Công tác sinh viên (phòng 103-104 C1)
Sửa thông tin cá nhân trên Cổng thông tin SVCấp giấy xác nhận SVThủ tục khi bị mất thẻ sinh viên,Nếu có thắc mắc cần liên hệ Ban Công tác sinh viên (phòng 103-104 C1)
Công nhận học phần tương đương/thay thế,thu.nguyenthiha@hust.edu.vn
"Miễn học phần thông thườngMiễn học phần ngoại ngữMiễn quân sự, thể dục khi đã có chứng chỉ","ninh.lequang@hust.edu.vnChuyên viên Lê Quang Ninh (bàn 3, phòng 202A-C1)"
Thắc mắc chưa thay đổi điểm do phúc tra,ninh.lequang@hust.edu.vn
Thắc mắc chưa nhập điểm hoặc chưa thấy có điểm trong bảng kết quả học tập,"[Thắc mắc điểm]Các bước cần thực hiện:Bước 1:Liên hệ với giảng viên/khoa,viện qua email để biết được giảng viên đã nhập điểm lên hệ thống hay chưa.Bước 2:Nếu giảng viên thông báo đã nhập điểm mà chưa thấy có điểm trên hệ thống thì gửi chuyển tiếp (foward) chính email đã liên hệ với giảng viên đó tới địa chỉ:ninh.lequang@hust.edu.vnđể được hỗ trợ.Lưu ý: Thời gian từ khi nhập điểm đến khi có điểm trên hệ thống có thể trong vòng 1 ngày (24 giờ) do cần đồng bộ và kiểm tra lại điểm."
Phúc tra điểm,11.
Thắc mắc về chương trình đào tạo,huong.nguyenthi1@hust.edu.vn
Xét nhận Đồ án/khóa luận tốt nghiệpBù tín chỉ,huong.nguyenthi1@hust.edu.vn
Thắc mắc về đăng ký tốt nghiệpBù tín chỉ và đăng ký tốt nghiệpKết quả xét tốt nghiệp,huong.nguyenthi1@hust.edu.vn
Lịch đăng ký học tậpThắc mắc đăng ký học tập,dat.nguyenquoc@hust.edu.vn
Đăng ký lớp đầy,16.
Rút/hủy đăng ký học phần,"dat.nguyenquoc@hust.edu.vnChỉ tiếp nhận qua emailđể lưu minh chứng, không nhận đơn trực tiếp."
